LEXXW;GXIIW;CODI_B;FTHM;INQQ;
1.03428;1.03428;1.03428;1.03428;1.03428;
1.0401;1.0401;1.0401;1.0401;1.0401;
1.02806;1.02806;1.02806;1.02806;1.02806;
1.07555;1.07555;1.07555;1.07555;1.07555;
0.975647;0.975647;0.975647;0.975647;0.975647;
0.947903;0.947903;0.947903;0.947903;0.947903;
0.986065;0.986065;0.986065;0.986065;0.986065;
0.893763;0.893763;0.893763;0.893763;0.893763;
0.97382;0.97382;0.97382;0.97382;0.97382;
0.895774;0.895774;0.895774;0.895774;0.895774;
0.94655;0.94655;0.94655;0.94655;0.94655;
0.897444;0.897444;0.897444;0.897444;0.897444;
0.85454;0.85454;0.85454;0.85454;0.85454;
0.882761;0.882761;0.882761;0.882761;0.882761;
0.922058;0.922058;0.922058;0.922058;0.922058;
0.948235;0.948235;0.948235;0.948235;0.948235;
0.999613;0.999613;0.999613;0.999613;0.999613;
0.978663;0.978663;0.978663;0.978663;0.978663;
0.988413;0.988413;0.988413;0.988413;0.988413;
1.02347;1.02347;1.02347;1.02347;1.02347;
0.951547;0.951547;0.951547;0.951547;0.951547;
0.87577;0.87577;0.87577;0.87577;0.87577;
0.901944;0.901944;0.901944;0.901944;0.901944;
0.82543;0.82543;0.82543;0.82543;0.82543;
0.773611;0.773611;0.773611;0.773611;0.773611;
0.868226;0.868226;0.868226;0.868226;0.868226;
0.872145;0.872145;0.872145;0.872145;0.872145;
0.95054;0.95054;0.95054;0.95054;0.95054;
0.872603;0.872603;0.872603;0.872603;0.872603;
0.938372;0.938372;0.938372;0.938372;0.938372;
0.962981;0.962981;0.962981;0.962981;0.962981;
0.879803;0.879803;0.879803;0.879803;0.879803;
0.873633;0.873633;0.873633;0.873633;0.873633;
0.914509;0.914509;0.914509;0.914509;0.914509;
0.960265;0.960265;0.960265;0.960265;0.960265;
1.0042;1.0042;1.0042;1.0042;1.0042;
0.972242;0.972242;0.972242;0.972242;0.972242;
1.02507;1.02507;1.02507;1.02507;1.02507;
0.979622;0.979622;0.979622;0.979622;0.979622;
1.04624;1.04624;1.04624;1.04624;1.04624;
1.00949;1.00949;1.00949;1.00949;1.00949;
0.93038;0.93038;0.93038;0.93038;0.93038;
0.991785;0.991785;0.991785;0.991785;0.991785;
0.902385;0.902385;0.902385;0.902385;0.902385;
0.847755;0.847755;0.847755;0.847755;0.847755;
0.916472;0.916472;0.916472;0.916472;0.916472;
0.846317;0.846317;0.846317;0.846317;0.846317;
0.77575;0.77575;0.77575;0.77575;0.77575;
0.871899;0.871899;0.871899;0.871899;0.871899;
0.796875;0.796875;0.796875;0.796875;0.796875;
0.883402;0.883402;0.883402;0.883402;0.883402;
0.968839;0.968839;0.968839;0.968839;0.968839;
0.882804;0.882804;0.882804;0.882804;0.882804;
0.874583;0.874583;0.874583;0.874583;0.874583;
0.911758;0.911758;0.911758;0.911758;0.911758;
0.857457;0.857457;0.857457;0.857457;0.857457;
0.943552;0.943552;0.943552;0.943552;0.943552;
0.897882;0.897882;0.897882;0.897882;0.897882;
0.877951;0.877951;0.877951;0.877951;0.877951;
0.843899;0.843899;0.843899;0.843899;0.843899;
0.901533;0.901533;0.901533;0.901533;0.901533;
0.831997;0.831997;0.831997;0.831997;0.831997;
0.899196;0.899196;0.899196;0.899196;0.899196;
0.921491;0.921491;0.921491;0.921491;0.921491;
0.852303;0.852303;0.852303;0.852303;0.852303;
0.896451;0.896451;0.896451;0.896451;0.896451;
0.951134;0.951134;0.951134;0.951134;0.951134;
0.932309;0.932309;0.932309;0.932309;0.932309;
0.892377;0.892377;0.892377;0.892377;0.892377;
0.846428;0.846428;0.846428;0.846428;0.846428;
0.873708;0.873708;0.873708;0.873708;0.873708;
0.898993;0.898993;0.898993;0.898993;0.898993;
0.825534;0.825534;0.825534;0.825534;0.825534;
0.777146;0.777146;0.777146;0.777146;0.777146;
0.824856;0.824856;0.824856;0.824856;0.824856;
0.898021;0.898021;0.898021;0.898021;0.898021;
