ID;Time;num_measure;CPU1_node01_Watt;min_CPU1_node01_Watt;max_CPU1_node01_Watt;CPU1_node01_Joule;min_CPU1_node01_Joule;max_CPU1_node01_Joule;CPU2_node01_Watt;min_CPU2_node01_Watt;max_CPU2_node01_Watt;CPU2_node01_Joule;min_CPU2_node01_Joule;max_CPU2_node01_Joule;ATX+12V_node01_Watt;min_ATX+12V_node01_Watt;max_ATX+12V_node01_Watt;ATX+12V_node01_Joule;min_ATX+12V_node01_Joule;max_ATX+12V_node01_Joule;Dummy_Watt;min_Dummy_Watt;max_Dummy_Watt;Dummy_Joule;min_Dummy_Joule;max_Dummy_Joule; ;power;energy
phase:1;0.00545382;69;40.201;39.0042;42.0019;0.219249;0.212722;0.229071;50.3856;48.5368;52.9556;0.274794;0.264711;0.288811;27.1994;26.5147;28.5031;0.148341;0.144606;0.155451;14.0884;14.081;14.0978;0.0768359;0.0767954;0.076887; ;167.786;0.91507464252
phase:2;0.00835323;106;40.8387;38.5071;43.5253;0.341136;0.321659;0.363577;51.145;47.865;55.9915;0.427226;0.399828;0.46771;27.635;26.381;29.114;0.230842;0.220366;0.243196;14.0873;14.081;14.0955;0.117674;0.117622;0.117743; ;169.6187;1.416864013401
phase:0;0.00884748;112;42.4459;40.0112;45.3759;0.375539;0.353998;0.401462;53.2314;50.6262;57.0054;0.470963;0.447914;0.504354;28.7281;27.3954;30.8505;0.254171;0.242381;0.272949;14.089;14.0848;14.0955;0.124652;0.124615;0.12471; ;174.4054;1.543048288392
phase:1;0.00272512;35;41.1785;40.4569;43.1351;0.112216;0.11025;0.117549;51.5819;50.5786;54.1278;0.140567;0.137833;0.147505;27.8307;27.2091;29.2411;0.075842;0.0741482;0.0796857;14.0925;14.0879;14.1009;0.0384038;0.0383913;0.0384266; ;170.5911;0.464881218432
phase:2;0.00952363;120;42.1464;39.6029;45.003;0.401387;0.377163;0.428592;52.7758;49.356;56.0116;0.502617;0.470049;0.533434;28.5311;27.1789;30.555;0.27172;0.258842;0.290995;14.0977;14.0856;14.1039;0.134261;0.134146;0.13432; ;173.4533;1.651905051479
phase:0;0.0113287;143;43.7271;40.4136;46.2338;0.495371;0.457833;0.523769;54.7512;50.845;58.468;0.62026;0.576007;0.662366;29.6394;27.5751;31.3398;0.335775;0.31239;0.35504;14.0865;14.081;14.0948;0.159582;0.15952;0.159675; ;178.1177;2.01784198799
phase:1;0.00139952;18;42.5544;41.2936;45.7967;0.0595556;0.0577912;0.0640932;53.3183;51.4311;57.5187;0.0746198;0.0719787;0.0804984;28.7242;27.8684;30.375;0.0402001;0.0390023;0.0425103;14.0893;14.0864;14.0917;0.0197182;0.0197141;0.0197216; ;174.5969;0.244351853488
phase:2;0.0112216;141;43.1779;40.1552;47.262;0.484527;0.450608;0.530357;54.1326;49.5996;58.8013;0.607457;0.556589;0.659848;29.2187;27.4156;31.6027;0.327882;0.307648;0.354634;14.0913;14.081;14.1009;0.158127;0.158012;0.158235; ;176.5292;1.98094007072
phase:0;0.0132701;167;45.5084;40.1627;49.7513;0.603903;0.532964;0.660207;57.1216;49.5933;62.858;0.758011;0.658111;0.834135;30.844;27.4275;33.4333;0.409304;0.363967;0.443665;14.0856;14.0749;14.0993;0.186918;0.186776;0.1871; ;183.474;2.4347183274
phase:1;0.000753164;10;45.638;42.9502;49.3507;0.0343729;0.0323485;0.0371692;56.765;54.2744;61.2001;0.0427534;0.0408775;0.0460937;30.4427;29.3681;32.7178;0.0229283;0.022119;0.0246419;14.0816;14.0787;14.0848;0.0106057;0.0106036;0.0106082; ;182.8457;0.1377127987948
